Import_ID,Product,Warehouse,Suppiler,Quantity,Ship_Distance,Ship_Cost,ImportDate,ModifiedDate
0,0,1,9,71,1242.832,12.719,2017-07-24,2017-07-24
1,0,1,1,167,1062.915,24.2075,2017-06-05,2017-06-05
2,0,1,4,12,1243.139,2.1505,2018-01-14,2018-01-14
3,0,1,9,76,1242.832,13.6145,2018-06-10,2018-06-10
4,0,1,2,101,2735.125,46.73,2017-08-05,2017-08-05
5,0,1,8,1,1024.691,0.1375,2017-12-22,2017-12-22
6,0,1,2,1,2735.125,0.4625,2017-10-28,2017-10-28
7,1,8,6,899,931.046,376.5805,2017-05-30,2017-05-30
8,1,8,8,2339,1302.238,1556.103,2017-03-13,2017-03-13
9,1,8,8,598,1302.238,397.841,2017-11-16,2017-11-16
10,1,8,3,142,740.271,41.5,2017-04-09,2017-04-09
11,1,8,3,30,740.271,8.7675,2017-07-27,2017-07-27
12,1,8,4,187,937.077,79.081,2017-03-24,2017-03-24
13,1,8,6,65,931.046,27.2275,2017-03-22,2017-03-22
14,1,8,3,30,740.271,8.7675,2018-06-10,2018-06-10
15,1,8,5,35,1604.717,30.3125,2017-12-12,2017-12-12
16,1,8,2,5,2968.23,8.856,2017-04-01,2017-04-01
17,1,8,1,4,1160.633,2.285,2018-11-10,2018-11-10
18,2,8,9,631,931.046,164.8505,2018-05-09,2018-05-09
19,2,8,8,86,1302.238,35.6835,2018-01-07,2018-01-07
20,2,8,9,72,931.046,18.81,2017-06-21,2017-06-21
21,2,8,6,48,931.046,12.54,2018-06-27,2018-06-27
22,2,8,7,21,3162.44,24.886,2017-05-06,2017-05-06
23,2,8,2,17,2968.23,18.779,2017-10-19,2017-10-19
24,2,8,9,3,931.046,0.784,2017-06-10,2017-06-10
25,2,8,1,1,1160.633,0.3565,2017-08-24,2017-08-24
26,2,8,4,1,937.077,0.2635,2018-03-06,2018-03-06
27,2,8,3,1,740.271,0.1825,2017-06-10,2017-06-10
28,2,8,8,1,1302.238,0.415,2017-08-16,2017-08-16
29,3,2,8,337,905.54,39.3235,2018-02-01,2018-02-01
30,3,2,6,454,1399.977,96.2325,2018-02-24,2018-02-24
31,3,2,5,53,1507.544,12.333,2017-06-28,2017-06-28
32,3,2,6,13,1399.977,2.7555,2017-03-16,2017-03-16
33,3,2,7,11,2809.603,5.3195,2017-07-12,2017-07-12
34,3,2,3,1,1172.198,0.168,2018-12-28,2018-12-28
35,3,2,4,10,1398.573,2.117,2018-11-11,2018-11-11
36,3,2,5,4,1507.544,0.931,2017-01-31,2017-01-31
37,3,2,5,2,1507.544,0.4655,2018-11-26,2018-11-26
38,4,0,4,477,1249.985,44.816,2018-09-04,2018-09-04
39,4,0,6,493,1286.069,48.0785,2017-08-03,2017-08-03
40,4,0,5,583,606.271,17.659,2017-11-20,2017-11-20
