Order_ID,Product_ID,Customer_ID,Quantity,Date_Order,Date_Ship,Date_due,Ship_Distance,Ship_Cost
0,39152,258,283,2018-10-18,2018-10-22,2018-10-27,115.806,0
1,39152,208,191,2018-11-23,2018-11-28,2018-11-23,963.823,48.18
2,39152,260,22,2017-07-21,2017-07-27,2017-07-26,2790.239,20.818
3,39152,843,46,2017-11-11,2017-11-20,2017-11-14,641.742,5.974
4,39152,917,53,2018-01-06,2018-01-10,2018-01-13,481.976,3.665
5,39152,105,9,2018-11-24,2018-11-26,2018-11-30,795.842,1.696
6,39152,197,16,2017-04-19,2017-04-22,2017-04-20,1813.748,9.204
7,39152,920,5,2018-08-11,2018-08-12,2018-08-18,964.928,1.263
8,39152,128,14,2018-09-13,2018-09-16,2018-09-19,1091.815,4.212
9,39152,122,4,2018-07-02,2018-07-11,2018-07-09,1022.311,1.098
10,39152,466,1,2018-12-02,2018-12-03,2018-12-05,3090.077,1.06
11,26023,63,1466,2017-03-18,2017-03-26,2017-03-18,658.978,698.665
12,26023,894,1,2018-11-30,2018-12-08,2018-12-04,801.409,0.666
13,26023,54,53,2018-01-02,2018-01-08,2018-01-03,1059.992,53.475
14,26023,772,2,2017-10-02,2017-10-07,2017-10-05,2143.47,4.895
15,26023,74,3,2018-04-20,2018-04-27,2018-04-22,494.045,0.773
16,33460,630,93,2018-03-06,2018-03-11,2018-03-11,637.446,25.985
17,33460,806,239,2018-11-04,2018-11-10,2018-11-07,801.409,99.225
18,33460,661,492,2017-02-18,2017-02-27,2017-02-24,1898.832,651.326
19,33460,931,61,2018-12-13,2018-12-13,2018-12-14,1898.832,80.754
20,33460,612,30,2018-07-14,2018-07-18,2018-07-22,3298.272,74.477
21,33460,595,1,2018-10-03,2018-10-12,2018-10-11,1010.432,0.588
22,33460,430,6,2018-05-01,2018-05-01,2018-05-08,492.433,0.956
23,56373,784,112,2018-01-19,2018-01-23,2018-01-21,506.618,8.919
24,56373,304,101,2018-07-22,2018-07-25,2018-07-30,2276.942,76.953
25,56373,828,18,2018-11-08,2018-11-08,2018-11-10,925.765,4.341
26,56373,409,69,2018-12-14,2018-12-20,2018-12-16,64.926,0
27,56373,822,3,2017-07-05,2017-07-14,2017-07-06,860.137,0.648
28,56373,313,15,2018-09-16,2018-09-22,2018-09-21,905.502,3.5
29,56373,203,4,2017-03-12,2017-03-12,2017-03-15,1353.448,1.624
30,56373,479,1,2018-11-11,2018-11-17,2018-11-16,1043.672,0.287
31,38701,933,29,2017-03-26,2017-03-29,2017-04-01,210.442,0
32,38701,292,780,2017-08-15,2017-08-23,2017-08-16,705.537,62.568
33,38701,901,80,2018-03-02,2018-03-06,2018-03-11,3719.171,54.105
34,38701,633,185,2018-12-18,2018-12-24,2018-12-20,1042.761,27.18
35,38701,304,23,2018-09-13,2018-09-20,2018-09-19,2817.843,11.455
36,38701,940,2,2018-04-02,2018-04-05,2018-04-07,715.156,0.164
37,38701,920,8,2017-03-13,2017-03-20,2017-03-22,846.648,0.865
