Import_ID,Product,Warehouse,Suppiler,Quantity,Ship_Distance,Ship_Cost,ImportDate,ModifiedDate
0,0,8,5,20,2457.793,9.5295,2017-07-24,2017-07-24
1,0,8,3,231,1934.409,87.0955,2017-06-05,2017-06-05
2,0,8,2,150,2102.949,61.359,2018-01-14,2018-01-14
3,0,8,1,13,2163.881,5.4685,2018-06-10,2018-06-10
4,0,8,7,5,1251.834,1.2365,2017-08-05,2017-08-05
5,0,8,6,7,2467.573,3.3485,2017-12-22,2017-12-22
6,0,8,6,1,2467.573,0.4785,2017-10-28,2017-10-28
7,0,8,3,2,1934.409,0.754,2017-05-30,2017-05-30
8,1,3,2,2376,3460.824,5537.2325,2017-03-13,2017-03-13
9,1,3,2,259,3460.824,603.5955,2017-11-16,2017-11-16
10,1,3,7,891,1353.448,830.0635,2017-04-09,2017-04-09
11,1,3,5,149,3786.559,379.4595,2017-07-27,2017-07-27
12,1,3,1,591,1351.26,549.7225,2017-03-24,2017-03-24
13,1,3,2,19,3460.824,44.279,2017-03-22,2017-03-22
14,1,3,1,40,1351.26,37.2065,2018-06-10,2018-06-10
15,1,3,8,5,840.123,2.9545,2017-12-12,2017-12-12
16,1,3,0,4,1207.707,3.3395,2017-04-01,2017-04-01
17,2,2,0,233,1093.438,110.2985,2018-11-10,2018-11-10
18,2,2,9,390,1524.123,254.158,2018-05-09,2018-05-09
19,2,2,4,214,1260.257,116.0835,2018-01-07,2018-01-07
20,2,2,2,18,2742.816,20.812,2017-06-21,2017-06-21
21,2,2,5,1,2907.22,1.2245,2018-06-27,2018-06-27
22,2,2,1,6,1187.446,3.074,2017-05-06,2017-05-06
23,2,2,5,2,2907.22,2.4485,2017-10-19,2017-10-19
24,2,2,0,5,1093.438,2.367,2017-06-10,2017-06-10
25,2,2,4,3,1260.257,1.6275,2017-08-24,2017-08-24
26,2,2,5,6,2907.22,7.3455,2018-03-06,2018-03-06
27,2,2,0,3,1093.438,1.42,2017-06-10,2017-06-10
28,2,2,0,1,1093.438,0.4735,2017-08-16,2017-08-16
29,3,7,9,180,191.84,8.3885,2018-02-01,2018-02-01
30,3,7,6,575,2467.573,278.9535,2018-02-24,2018-02-24
31,3,7,1,41,2163.881,17.491,2017-06-28,2017-06-28
32,3,7,3,53,1934.409,20.267,2017-03-16,2017-03-16
33,3,7,8,35,568.882,4.174,2017-07-12,2017-07-12
34,3,7,0,1,2015.263,0.398,2018-12-28,2018-12-28
35,4,1,9,1227,1774.702,221.428,2018-11-11,2018-11-11
36,4,1,8,370,1507.057,56.9775,2017-01-31,2017-01-31
37,4,1,2,73,3137.899,23.0155,2018-11-26,2018-11-26
38,4,1,4,26,1012.876,2.733,2018-09-04,2018-09-04
39,4,1,4,198,1012.876,20.8135,2017-08-03,2017-08-03
40,4,1,5,13,3304.698,4.313,2017-11-20,2017-11-20
41,4,1,7,3,387.461,0.13,2017-03-17,2017-03-17
42,4,1,1,3,792.541,0.25,2017-08-06,2017-08-06
43,4,1,7,1,387.461,0.0435,2018-06-25,2018-06-25
44,5,8,0,2351,2015.263,3975.629,2017-05-10,2017-05-10
45,5,8,8,246,568.882,124.658,2017-07-15,2017-07-15
46,5,8,9,1190,191.84,235.642,2017-07-29,2017-07-29
47,5,8,4,65,1660.93,91.059,2018-11-25,2018-11-25
48,5,8,8,4,568.882,2.027,2017-11-06,2017-11-06
49,6,7,8,222,568.882,65.055,2017-04-09,2017-04-09
50,6,7,0,616,2015.263,602.3875,2018-04-18,2018-04-18
51,6,7,2,56,2102.949,57.0875,2018-06-17,2018-06-17
52,6,7,8,8,568.882,2.3445,2017-08-09,2017-08-09
53,6,7,2,15,2102.949,15.2915,2017-07-29,2017-07-29
54,7,5,9,2039,2050.667,3789.4,2018-12-23,2018-12-23
55,7,5,9,68,2050.667,126.3755,2018-02-19,2018-02-19
56,7,5,4,282,3626.114,917.137,2018-02-04,2018-02-04
57,7,5,1,36,3876.011,125.0405,2017-12-05,2017-12-05
58,7,5,0,3,3759.286,10.11,2018-02-19,2018-02-19
59,7,5,4,2,3626.114,6.5045,2017-06-02,2017-06-02
60,7,5,1,2,3876.011,6.9465,2017-10-18,2017-10-18
61,8,6,4,597,3564.579,983.141,2017-08-11,2017-08-11
62,8,6,8,60,3046.883,84.6565,2018-01-04,2018-01-04
63,8,6,7,1191,2424.416,1342.6665,2018-01-02,2018-01-02
64,8,6,0,345,3404.419,542.9725,2018-08-29,2018-08-29
65,8,6,2,19,1524.831,13.6325,2017-02-26,2017-02-26
66,8,6,5,13,1250.138,7.7005,2018-01-24,2018-01-24
67,8,6,9,3,2634.798,3.6695,2017-08-27,2017-08-27
68,8,6,4,2,3564.579,3.2935,2017-06-03,2017-06-03
69,9,9,2,425,3726.327,333.988,2018-11-08,2018-11-08
70,9,9,1,89,254.885,5.6465,2017-11-15,2017-11-15
71,9,9,9,4,2082.259,1.775,2018-05-18,2018-05-18
72,9,9,2,1,3726.327,0.786,2017-12-09,2017-12-09
73,10,6,5,2330,1250.138,1722.775,2017-10-14,2017-10-14
74,10,6,9,4058,2634.798,6195.9355,2017-03-05,2017-03-05
75,10,6,6,48,3619.418,100.1665,2017-03-04,2017-03-04
76,10,6,4,152,3564.579,312.453,2017-06-30,2017-06-30
77,10,6,3,23,1551.196,20.944,2018-12-28,2018-12-28
78,10,6,1,10,3467.988,20.007,2017-03-27,2017-03-27
79,10,6,1,1,3467.988,2.0005,2017-10-11,2017-10-11
80,10,6,7,1,2424.416,1.407,2017-08-05,2017-08-05
81,11,1,9,599,1774.702,234.12,2017-10-17,2017-10-17
82,11,1,5,7,3304.698,5.03,2017-07-31,2017-07-31
