Order_ID,Product_ID,Customer_ID,Quantity,Date_Order,Date_Ship,Date_due,Ship_Distance,Ship_Cost
0,0,592,62,2018-10-18,2018-10-22,2018-10-27,1302.36,31.862
1,0,761,1,2018-11-23,2018-11-28,2018-11-23,2250.286,0.874
2,0,409,2,2017-07-21,2017-07-27,2017-07-26,1251.834,0.989
3,1,193,120,2017-11-11,2017-11-20,2017-11-14,1201.806,199.428
4,1,664,1128,2018-01-06,2018-01-10,2018-01-13,961.294,1514.446
5,1,922,497,2018-11-24,2018-11-26,2018-11-30,460.831,337.055
6,1,213,17,2017-04-19,2017-04-22,2017-04-20,1414.836,33.06
7,1,588,2,2018-08-11,2018-08-12,2018-08-18,1207.707,3.339
8,1,920,2,2018-09-13,2018-09-16,2018-09-19,3308.898,8.919
9,1,958,2,2018-07-02,2018-07-11,2018-07-09,1210.585,3.347
10,2,802,346,2018-12-02,2018-12-03,2018-12-05,1106.793,331.407
11,2,305,639,2017-03-18,2017-03-26,2017-03-18,2806.025,1511.1
12,2,278,79,2018-11-30,2018-12-08,2018-12-04,488.811,35.245
13,2,901,53,2018-01-02,2018-01-08,2018-01-03,475.652,23.068
14,2,680,1,2017-10-02,2017-10-07,2017-10-05,1263.901,1.088
15,2,617,30,2018-04-20,2018-04-27,2018-04-22,1696.181,43.375
16,2,815,5,2018-03-06,2018-03-11,2018-03-11,0.0,0.207
17,3,898,156,2018-11-04,2018-11-10,2018-11-07,1900.575,117.273
18,3,238,1456,2017-02-18,2017-02-27,2017-02-24,1293.813,754.07
19,3,706,59,2018-12-13,2018-12-13,2018-12-14,2252.416,52.354
20,3,360,273,2018-07-14,2018-07-18,2018-07-22,1831.63,197.974
21,3,847,13,2018-10-03,2018-10-12,2018-10-11,2324.835,11.898
22,3,554,47,2018-05-01,2018-05-01,2018-05-08,2123.085,39.363
23,3,165,33,2018-01-19,2018-01-23,2018-01-21,1332.776,17.586
24,3,119,96,2018-07-22,2018-07-25,2018-07-30,2637.48,99.432
25,3,904,10,2018-11-08,2018-11-08,2018-11-10,196.367,0.949
26,3,756,5,2018-12-14,2018-12-20,2018-12-16,2324.835,4.576
27,3,355,3,2017-07-05,2017-07-14,2017-07-06,1534.045,1.831
28,3,297,1,2018-09-16,2018-09-22,2018-09-21,2860.567,1.122
29,4,867,1047,2017-03-12,2017-03-12,2017-03-15,678.392,150.848
30,4,455,472,2018-11-11,2018-11-17,2018-11-16,778.978,77.395
31,4,236,18,2017-03-26,2017-03-29,2017-04-01,1012.876,3.784
32,4,510,6,2017-08-15,2017-08-23,2017-08-16,407.416,0.543
33,4,231,21,2018-03-02,2018-03-06,2018-03-11,808.896,3.568
34,4,934,5,2018-12-18,2018-12-24,2018-12-20,1029.8,1.068
35,5,990,1326,2018-09-13,2018-09-20,2018-09-19,1218.609,2754.731
36,5,487,21,2018-04-02,2018-04-05,2018-04-07,2166.64,76.229
37,5,472,642,2017-03-13,2017-03-20,2017-03-22,1505.691,1635.559
38,5,920,49,2017-10-26,2017-10-29,2017-11-01,1949.208,160.421
39,5,432,18,2017-07-08,2017-07-11,2017-07-10,2188.981,65.998
40,5,682,4,2017-05-28,2017-06-06,2017-05-30,2166.64,14.52
41,5,139,2,2017-01-26,2017-02-02,2017-02-02,2842.374,9.473
42,6,699,103,2017-07-21,2017-07-26,2017-07-21,1865.577,186.847
43,6,59,14,2017-03-11,2017-03-19,2017-03-20,227.183,3.675
44,6,363,41,2017-04-12,2017-04-13,2017-04-12,1251.834,50.546
45,6,479,47,2018-10-17,2018-10-17,2018-10-25,2057.386,93.798
46,6,897,4,2018-12-18,2018-12-24,2018-12-26,2204.658,8.541
47,6,128,7,2017-10-31,2017-11-08,2017-11-06,1924.324,13.088
48,6,680,1,2017-08-03,2017-08-09,2017-08-12,2279.828,2.206
49,6,549,1,2017-07-02,2017-07-04,2017-07-10,1321.047,1.298
50,6,802,1,2018-04-04,2018-04-09,2018-04-11,1365.623,1.341
51,7,245,104,2017-08-02,2017-08-07,2017-08-07,3091.904,578.166
52,7,707,89,2018-05-28,2018-06-04,2018-06-05,3894.215,621.122
53,7,620,408,2018-12-14,2018-12-23,2018-12-18,2670.905,1964.263
54,7,871,165,2017-03-05,2017-03-08,2017-03-12,130.725,52.763
55,7,192,42,2017-03-31,2017-04-05,2017-04-07,2364.652,179.444
56,7,343,2,2018-05-05,2018-05-09,2018-05-07,4022.29,14.411
57,7,58,2,2017-07-08,2017-07-08,2017-07-16,3197.791,11.493
58,8,855,159,2017-07-30,2017-07-31,2017-08-07,1638.366,244.612
59,8,190,11,2017-06-21,2017-06-25,2017-06-30,1524.831,15.785
60,8,955,137,2017-05-13,2017-05-17,2017-05-18,2790.274,354.564
61,8,255,97,2018-09-26,2018-09-26,2018-09-27,2593.382,233.639
62,8,990,8,2018-09-01,2018-09-02,2018-09-09,1323.548,10.013
63,8,839,6,2017-06-19,2017-06-19,2017-06-28,3255.079,18.07
64,8,903,7,2018-03-22,2018-03-29,2018-03-28,1892.834,12.392
65,8,162,31,2018-04-13,2018-04-21,2018-04-13,1327.891,38.922
66,8,489,2,2017-01-21,2017-01-22,2017-01-28,2813.779,5.219
67,9,324,270,2017-05-27,2017-06-03,2017-06-02,991.797,117.071
68,10,181,110,2017-04-03,2017-04-07,2017-04-04,2168.419,277.555
69,10,716,471,2017-10-15,2017-10-16,2017-10-15,2699.087,1472.728
70,10,143,392,2018-04-16,2018-04-16,2018-04-18,2325.1,1058.964
