Order_ID,Product_ID,Customer_ID,Product_Values,General_Price,Tax,Total_Cost,Date_Order,Date_Ship,Date_due,Ship_Distance,Ship_Cost
55340,52825,98262,10272.0,348,1027.2,11851.077,2017-05-30,2017-06-08,2017-06-04,2213.855,38.277
2653,55787,37425,48084.0,290,4808.4,61578.211,2017-04-11,2017-04-17,2017-04-16,1834.548,30.691
26537,20642,22942,9998.0,477,999.8,13920.267,2017-12-23,2018-01-01,2017-12-26,1452.329,23.047
31234,39452,49036,41774.0,138,4177.4,50139.904,2017-05-20,2017-05-27,2017-05-22,855.19,11.104
33075,1758,52069,17325.0,339,1732.5,22307.829,2017-02-24,2017-02-27,2017-02-25,6891.451,131.829
49532,46192,75971,38670.0,431,3867.0,51965.46000000001,2017-02-06,2017-02-13,2017-02-15,7683.016,147.66
16417,34806,55116,35748.0,69,3574.8,42969.742000000006,2017-12-20,2017-12-26,2017-12-28,3907.097,72.142
53098,33015,87471,7621.0,229,762.1,10677.318,2017-08-22,2017-08-23,2017-08-25,695.901,7.918
6472,37859,11787,25319.0,212,2531.9,32662.957,2017-10-11,2017-10-11,2017-10-19,372.347,1.447
21639,14767,90562,19154.0,399,1915.4,25697.051,2017-07-03,2017-07-09,2017-07-04,1834.548,30.691
23186,28501,10243,39148.0,247,3914.8,45432.67,2017-06-18,2017-06-21,2017-06-25,1349.487,20.99
41970,30524,37978,30687.0,416,3068.7,38732.53199999999,2017-12-21,2017-12-23,2017-12-27,3645.604,66.912
31261,53926,92961,50451.0,491,5045.1,64140.335,2017-06-21,2017-06-27,2017-06-24,3678.233,67.565
4081,37388,22900,29454.0,355,2945.4,38939.694,2017-11-09,2017-11-15,2017-11-09,3320.714,60.414
6112,30524,37425,30687.0,416,3068.7,42990.863,2017-10-07,2017-10-11,2017-10-15,1753.165,29.063
54057,12574,30288,27533.0,368,2753.3,31974.64,2017-11-01,2017-11-09,2017-11-08,2117.991,36.36
74,39128,56073,19858.0,31,1985.8,26460.857,2017-08-26,2017-08-31,2017-08-30,2785.847,49.717
15984,1130,67257,46068.0,68,4606.8,58081.838,2017-10-11,2017-10-14,2017-10-19,2107.88,36.158
4127,44246,21229,9599.0,203,959.9,12610.798,2017-03-16,2017-03-22,2017-03-18,2105.394,36.108
15637,38925,63597,28188.0,309,2818.8,34971.574,2017-11-08,2017-11-09,2017-11-17,1222.691,18.454
35585,16034,42763,27231.0,147,2723.1,33553.535,2017-06-23,2017-06-24,2017-06-23,3270.274,59.405
