Order_ID,Product_ID,Customer_ID,Product_Values,General_Price,Tax,Total_Cost,Date_Order,Date_Ship,Date_due,Ship_Distance,Ship_Cost
55340,14767,17735,19154.0,399,1915.4,25029.198,2017-05-30,2017-06-08,2017-06-04,6749.898,128.998
2653,14841,88163,1560.0,36,156.0,2056.983,2017-04-11,2017-04-17,2017-04-16,969.144,13.383
26537,28683,11787,32781.0,67,3278.1,45897.664,2017-12-23,2018-01-01,2017-12-26,513.194,4.264
31234,12543,90677,34378.0,475,3437.8,43356.70300000001,2017-05-20,2017-05-27,2017-05-22,2321.151,40.423
33075,12460,21229,45989.0,84,4598.9,61625.26,2017-02-24,2017-02-27,2017-02-25,104.168,0.0
49532,44950,94329,32165.0,51,3216.5,39887.666,2017-02-06,2017-02-13,2017-02-15,453.285,3.066
16417,31986,67181,6250.0,293,625.0,8682.779,2017-12-20,2017-12-26,2017-12-28,3188.96,57.779
53098,46581,63597,1692.0,58,169.2,2325.059,2017-08-22,2017-08-23,2017-08-25,3188.96,57.779
6472,51886,55116,25812.0,143,2581.2,34588.08,2017-10-11,2017-10-11,2017-10-19,104.168,0.0
21639,13568,87471,37925.0,489,3792.5,44381.189,2017-07-03,2017-07-09,2017-07-04,746.945,8.939
23186,39254,95315,43496.0,291,4349.6,55674.88,2017-06-18,2017-06-21,2017-06-25,18.239,0.0
41970,45134,52069,9592.0,386,959.2,11511.928000000002,2017-12-21,2017-12-23,2017-12-27,376.411,1.528
31261,25588,44635,6868.0,70,686.8,9487.545,2017-06-21,2017-06-27,2017-06-24,785.245,9.705
4081,50581,28838,40709.0,135,4070.9,54552.662,2017-11-09,2017-11-15,2017-11-09,430.078,2.602
6112,37388,66475,29454.0,355,2945.4,38332.345,2017-10-07,2017-10-11,2017-10-15,2407.245,42.145
54057,55206,68965,8594.0,171,859.4,11112.288,2017-11-01,2017-11-09,2017-11-08,1601.389,26.028
74,42136,52069,12446.0,44,1244.6,14687.808,2017-08-26,2017-08-31,2017-08-30,376.411,1.528
15984,28390,21229,7335.0,359,733.5,8521.725,2017-10-11,2017-10-14,2017-10-19,956.253,13.125
4127,23790,92961,43027.0,302,4302.7,52079.864,2017-03-16,2017-03-22,2017-03-18,1159.71,17.194
15637,50201,60901,42718.0,287,4271.8,53432.313,2017-11-08,2017-11-09,2017-11-17,2040.659,34.813
35585,3368,93085,38678.0,426,3867.8,53011.925,2017-06-23,2017-06-24,2017-06-23,1453.269,23.065
20975,54519,71444,7344.0,100,734.4,8898.719,2017-12-06,2017-12-12,2017-12-11,4595.966,85.919
7147,38725,51568,29446.0,487,2944.6,37116.417,2017-04-28,2017-05-04,2017-05-01,1022.83,14.457
46305,43762,17735,34654.0,32,3465.4,46522.279,2017-02-18,2017-02-24,2017-02-22,4595.966,85.919
53376,24514,55116,44969.0,220,4496.9,58966.706,2017-12-25,2017-12-31,2017-12-27,3165.789,57.316
52391,11558,91667,21915.0,5,2191.5,28064.8,2017-08-23,2017-08-29,2017-08-30,980.019,13.6
18851,50201,30306,42718.0,287,4271.8,52130.25600000001,2017-06-22,2017-06-23,2017-06-29,1014.819,14.296
52293,20642,11787,9998.0,477,999.8,13365.218,2017-05-30,2017-06-02,2017-06-05,3693.901,67.878
15866,45024,90445,26819.0,209,2681.9,35941.353,2017-04-23,2017-04-25,2017-04-25,494.628,3.893
53835,31674,88275,28498.0,266,2849.8,35920.014,2017-03-14,2017-03-14,2017-03-21,926.718,12.534
43034,23945,28012,23662.0,453,2366.2,30763.565,2017-04-11,2017-04-16,2017-04-11,448.271,2.965
5886,30398,14599,32610.0,387,3261.0,38170.36,2017-09-21,2017-09-30,2017-09-22,1133.023,16.66
9800,55787,78027,48084.0,290,4808.4,66355.921,2017-12-25,2017-12-25,2017-12-25,300.046,0.001
45830,24470,87471,24560.0,212,2456.0,31212.988,2017-12-25,2017-12-31,2018-01-02,1389.41,21.788
25643,23790,19844,43027.0,302,4302.7,50413.293,2017-11-22,2017-11-30,2017-11-28,3885.158,71.703
18063,31481,75489,38472.0,166,3847.2,47733.62,2017-07-22,2017-07-31,2017-07-24,1717.006,28.34
55671,44983,18722,15572.0,229,1557.2,20866.997,2017-03-25,2017-04-02,2017-04-01,325.869,0.517
54084,45125,14209,39428.0,3,3942.8,52114.16700000001,2017-06-12,2017-06-19,2017-06-15,3760.37,69.207
29528,4896,17735,23920.0,235,2392.0,31224.998,2017-07-11,2017-07-19,2017-07-18,6749.898,128.998
45889,409,24683,1474.0,146,147.4,1943.51,2017-12-23,2018-01-01,2017-12-27,928.485,12.57
5398,46090,20374,10306.0,80,1030.6,13143.854,2017-05-06,2017-05-13,2017-05-07,3061.684,55.234
31879,6298,88163,17154.0,433,1715.4,22497.768,2017-08-16,2017-08-23,2017-08-20,1601.389,26.028
55383,48664,17985,19657.0,479,1965.7,25763.793,2017-03-15,2017-03-17,2017-03-15,956.175,13.123
47938,45024,24321,26819.0,209,2681.9,33547.881,2017-04-16,2017-04-17,2017-04-24,1506.565,24.131
14448,54894,68965,20245.0,2,2024.5,24927.378,2017-05-25,2017-06-03,2017-05-27,1601.389,26.028
21793,48690,94329,43397.0,2,4339.7,59022.986,2017-06-15,2017-06-24,2017-06-15,453.285,3.066
6593,18599,63597,6524.0,378,652.4,7690.859,2017-11-01,2017-11-02,2017-11-09,3188.96,57.779
14337,54037,78687,33353.0,91,3335.3,45382.702000000005,2017-01-18,2017-01-27,2017-01-24,1431.118,22.622
41563,33069,13692,28034.0,486,2803.4,34241.903000000006,2017-12-20,2017-12-26,2017-12-27,2321.151,40.423
44603,24915,78130,35891.0,22,3589.1,48101.838,2017-01-29,2017-01-29,2017-01-30,694.895,7.898
41615,28823,30288,15290.0,33,1529.0,19786.462,2017-03-15,2017-03-22,2017-03-21,3418.117,62.362
7844,28501,62446,39148.0,247,3914.8,49340.513000000006,2017-06-01,2017-06-02,2017-06-05,1001.662,14.033
54646,22770,30306,26209.0,127,2620.9,32768.171,2017-02-15,2017-02-15,2017-02-22,646.032,6.921
1417,55745,17735,39911.0,363,3991.1,55961.319,2017-03-17,2017-03-19,2017-03-25,4595.966,85.919
8119,12316,91711,8322.0,479,832.2,9872.007,2017-07-06,2017-07-08,2017-07-14,2902.372,52.047
52477,26458,90445,46292.0,199,4629.2,57877.534,2017-01-24,2017-02-01,2017-01-24,926.718,12.534
35667,31986,24321,6250.0,293,625.0,8318.059,2017-06-15,2017-06-22,2017-06-16,577.926,5.559
54781,17568,75015,25820.0,267,2582.0,32074.929,2017-04-11,2017-04-11,2017-04-13,3206.466,58.129
4716,23946,59783,2721.0,167,272.1,3564.51,2017-09-09,2017-09-12,2017-09-13,151.501,0.0
28578,3250,44635,44495.0,139,4449.5,53411.819,2017-03-12,2017-03-12,2017-03-18,1190.954,17.819
30613,18085,36892,5075.0,274,507.5,5910.065,2017-01-16,2017-01-23,2017-01-17,1453.269,23.065
45830,26583,54738,25000.0,308,2500.0,35062.553,2017-06-01,2017-06-03,2017-06-04,3427.643,62.553
23498,44246,14599,9599.0,203,959.9,12961.788,2017-12-18,2017-12-26,2017-12-23,456.907,3.138
54940,42712,15773,30259.0,55,3025.9,36327.541000000005,2017-12-17,2017-12-23,2017-12-19,1137.033,16.741
45724,31672,28012,4472.0,219,447.2,5608.657999999999,2017-09-19,2017-09-21,2017-09-28,3468.89,63.378
3804,48740,94329,44418.0,163,4441.8,54202.530000000006,2017-11-03,2017-11-11,2017-11-04,928.485,12.57
