Product_ID,Product_Name,Product_SubCategory,Product_Color,Standard_Cost,General_Price,Product_Number,Sale_DateStart,Sale_DateEnd,Import_Flag,Warehouse_ID
9654,LaptopLightCyan14841,Laptop,LightCyan,35857,364,6829,2017-03-22,2017-04-06,0,3
33283,JewelryDarkSlateBlue56866,Jewelry,DarkSlateBlue,18021,301,5898,2017-03-28,2017-04-13,0,1
55745,JewelryAzure34316,Jewelry,Azure,39548,363,1231,2017-07-11,,0,3
1990,ClotherMintCream24827,Clother,MintCream,27510,225,9096,2017-05-26,2017-06-16,1,1
18327,StickerYellow19048,Sticker,Yellow,44154,173,9455,2017-04-23,,0,3
23945,StickerDarkRed24613,Sticker,DarkRed,23209,453,9763,2017-07-13,2017-11-01,1,3
46090,WatchMoccasin36403,Watch,Moccasin,10226,80,296,2017-06-03,2017-08-18,0,1
55045,PhoneDarkMagenta49861,Phone,DarkMagenta,9178,452,3289,2017-04-28,,1,6
39128,JewelryLightGoldenRodYellow14828,Jewelry,LightGoldenRodYellow,19827,31,8508,2017-02-26,2017-11-08,0,1
39254,PhoneMidnightBlue21926,Phone,MidnightBlue,43205,291,3285,2017-07-07,,1,5
16567,JewelryGreen25843,Jewelry,Green,26829,22,7119,2017-01-24,2017-05-28,0,3
30388,WatchHoneyDew42182,Watch,HoneyDew,43974,167,354,2017-11-22,,1,1
33069,LaptopSalmon44456,Laptop,Salmon,27548,486,8295,2017-01-14,2017-02-20,0,3
52473,JewelryIndigo32156,Jewelry,Indigo,49399,37,749,2017-01-27,2017-07-28,0,5
168,BikeYellowGreen21282,Bike,YellowGreen,43483,33,5929,2017-01-18,2017-03-26,1,6
35925,MattressCornsilk37936,Mattress,Cornsilk,13095,404,5065,2017-04-30,,0,1
31782,ClotherFuchsia49818,Clother,Fuchsia,15569,474,5632,2017-09-01,,0,3
55109,PhoneRoyalBlue20764,Phone,RoyalBlue,35207,192,760,2017-01-17,2017-12-20,0,1
12122,ClotherCornsilk15808,Clother,Cornsilk,31996,347,9075,2017-08-03,,0,1
3848,WatchIndigo28995,Watch,Indigo,715,64,716,2017-12-16,,1,1
15501,MattressSienna6269,Mattress,Sienna,43680,446,5237,2017-09-21,,1,3
